timestep,vibration_frequency_Hz,uv_intensity_percent,reward
1,1.9372817896488024,53.52163874426439,0.505327
2,0.8734693056425975,29.453823358286545,0.07415048
3,1.9999197466458019,34.47905371722781,0.32940263
4,0.9018839127852626,37.57506653670484,0.36411446
5,0.5398869514465332,15.413013058769693,0.031866714
6,1.1258657411563524,51.739367197036266,0.03456589
7,0.7558076988363275,12.40534257888794,0.017134396
8,1.3755626419327018,11.104781031608582,0.07817708
9,1.3925400032250717,10.996121764183044,0.035295155
10,1.962737867303284,16.34247438269795,0.16120437
11,1.9503273460247075,31.495648007310642,0.67981607
12,0.8466404622960513,11.354339718818665,0.04230349
13,0.750584602355957,24.045116336219014,0.026087198
14,2.01101753573426,42.261689093362406,0.7786246
15,1.778697022116173,52.60394856539765,0.44892988
16,1.6071515601735256,64.31821790358734,0.44637755
17,1.7057075274651083,65.8651477215319,0.42029643
18,0.6858802955816639,29.95158825369932,0.08808368
19,1.55848694641674,48.40139024502369,0.12372059
20,1.513960215988884,63.36479764753075,0.5328384
21,0.6003956398054384,9.933937191963196,0.05547546
22,0.822938390348438,10.297623872756958,0.015115548
23,0.5,9.666106700897217,0.039733823
24,0.5,0.0,0.009000001
25,1.0228921680420928,9.372544884681702,0.07424992
26,0.5,13.97467032672916,0.012424316
27,1.018403669208353,52.42274769572187,0.042356953
28,1.882991202622306,26.577083740124714,0.11101136
29,1.7429283578633181,52.35670392383031,0.025605267
30,2.3655660673095062,41.93717860440389,0.60893005
31,0.5560281276702881,9.596336483955383,0.016317552
32,0.9317088075063205,8.802779769329902,0.042590465
33,1.3093842537238076,49.38473822165802,0.12622361
34,0.5,8.02913212776184,0.021315098
35,0.9841711018818597,7.142706871032715,0.19344948
36,0.5,0.0,0.009000001
37,0.5,33.938731242738754,0.07907601
38,2.13865594555522,30.043653545571217,0.83889693
39,1.9455796675404895,56.054175980615554,0.07119044
40,0.5,14.50807562664649,0.0155434515
41,1.2211021214449556,30.516755778272962,0.13083628
42,1.588712623054726,58.49999576762217,0.32648978
43,1.0045202357116207,11.026159058399287,0.03838627
44,1.2580154649918085,25.017454363908243,0.14966495
45,1.7066317928108443,67.96262885372138,0.62772447
46,0.6746179777167852,7.5036115646362305,0.055158176
47,1.641436333343872,59.57026351907706,0.4605559
48,2.4773145494113433,70.61054433855134,0.47873816
49,1.129066311713085,7.063103199005127,0.054269694
50,1.7949833212945507,18.926222910754582,0.11556791
51,0.6532044410705566,0.0,0.01175768
52,0.604459285736084,0.0,0.010880267
53,0.5602969268050105,5.090778350830078,0.019493576
54,1.167641721677856,3.758298397064209,0.032896295
55,1.269877654693713,32.6309994332484,0.080043316
56,1.0077958992177458,4.2189483642578125,0.029087985
57,1.3107717960598768,25.250221316102035,0.15348288
58,1.7956448716115707,39.62452407262883,0.4986349
59,1.0975801210503346,7.074484825134277,0.03704192
